axis1,axis2,value
Accessories,Accessories,1
Accessories,Appliances,0.067170477
Accessories,Art,-0.033959782
Accessories,Binders,-0.029153321
Accessories,Bookcases,0.037162975
Accessories,Chairs,0.051264112
Accessories,Copiers,-0.032657822
Accessories,Envelopes,0.005072469
Accessories,Fasteners,-0.016277094
Accessories,Furnishings,0.06565245
Accessories,Labels,-0.019181869
Accessories,Machines,-0.016040587
Accessories,Paper,0.080919952
Accessories,Phones,0.04023628
Accessories,Storage,-0.003158944
Accessories,Supplies,-0.035282645
Accessories,Tables,0.128357646
Appliances,Accessories,0.067170477
Appliances,Appliances,1
Appliances,Art,0.080498442
Appliances,Binders,-0.036483954
Appliances,Bookcases,0.01221747
Appliances,Chairs,0.064596126
Appliances,Copiers,-0.026016248
Appliances,Envelopes,0.004641907
Appliances,Fasteners,-0.005270253
Appliances,Furnishings,0.051346672
Appliances,Labels,-0.022621661
Appliances,Machines,0.01230748
Appliances,Paper,0.118245791
Appliances,Phones,0.050227712
Appliances,Storage,0.077248889
Appliances,Supplies,0.018378453
Appliances,Tables,0.025918683
Art,Accessories,-0.033959782
Art,Appliances,0.080498442
Art,Art,1
Art,Binders,-0.00382585
Art,Bookcases,0.009211837
Art,Chairs,0.056697779
Art,Copiers,0.062871054
Art,Envelopes,0.057083045
Art,Fasteners,0.018721868
Art,Furnishings,0.006565294
Art,Labels,0.003414076
Art,Machines,0.008733338
Art,Paper,0.02882594
Art,Phones,0.017668011
Art,Storage,0.01709717
Art,Supplies,0.043781772
Art,Tables,-0.015068255
Binders,Accessories,-0.029153321
Binders,Appliances,-0.036483954
Binders,Art,-0.00382585
Binders,Binders,1
Binders,Bookcases,-0.012217727
Binders,Chairs,0.035040851
Binders,Copiers,-0.0013434
Binders,Envelopes,0.005020752
Binders,Fasteners,0.054414029
Binders,Furnishings,0.099256151
Binders,Labels,-0.024738337
Binders,Machines,0.001186264
Binders,Paper,0.055472425
Binders,Phones,0.01098649
Binders,Storage,0.032724401
Binders,Supplies,0.039290566
Binders,Tables,0.060496522
Bookcases,Accessories,0.037162975
Bookcases,Appliances,0.01221747
Bookcases,Art,0.009211837
Bookcases,Binders,-0.012217727
Bookcases,Bookcases,1
Bookcases,Chairs,0.013320332
Bookcases,Copiers,-0.015721405
Bookcases,Envelopes,0.022207002
Bookcases,Fasteners,0.016284986
Bookcases,Furnishings,0.035726847
